"ModName2","ModType","Set","MetricCount","MetricResult","Metric","Stratified","Unstratified","Metric2","ModTypeName"
"Strat H2O","Rpart","Training",33,0.818181818181818,"Accuracy (EvIdry)",TRUE,FALSE,"Accuracy (EvIdry)","Rpart Strat H2O"
"Strat H2O","Rpart","Testing",17,0.941176470588235,"Accuracy (EvNE)",TRUE,FALSE,"Accuracy (EvNE)","Rpart Strat H2O"
"Strat H2O","Rpart","Training",72,0.888888888888889,"Accuracy (EvNE)",TRUE,FALSE,"Accuracy (EvNE)","Rpart Strat H2O"
"Strat H2O","Rpart","Testing",17,1,"Accuracy (EvNE_SInm)",TRUE,FALSE,"Accuracy (EvNE_SInm)","Rpart Strat H2O"
"Strat H2O","Rpart","Training",72,0.875,"Accuracy (EvNE_SInm)",TRUE,FALSE,"Accuracy (EvNE_SInm)","Rpart Strat H2O"
"Strat H2O","Rpart","Testing",17,1,"Accuracy (EvNE_SIpnw)",TRUE,FALSE,"Accuracy (EvNE_SIpnw)","Rpart Strat H2O"
"Strat H2O","Rpart","Training",72,0.861111111111111,"Accuracy (EvNE_SIpnw)",TRUE,FALSE,"Accuracy (EvNE_SIpnw)","Rpart Strat H2O"
"Strat H2O","Rpart","Testing",1,1,"Accuracy (PnotE)",TRUE,FALSE,"Accuracy (PnotE)","Rpart Strat H2O"
"Strat H2O","Rpart","Training",24,1,"Accuracy (PnotE)",TRUE,FALSE,"Accuracy (PnotE)","Rpart Strat H2O"
"Strat H2O","Rpart","Testing",17,0.823529411764706,"Accuracy (PvIvE)",TRUE,FALSE,"Accuracy (PvIvE)","Rpart Strat H2O"
"Strat H2O","Rpart","Training",72,0.736111111111111,"Accuracy (PvIvE)",TRUE,FALSE,"Accuracy (PvIvE)","Rpart Strat H2O"
"Strat H2O","Rpart","Testing",8,0.75,"Accuracy (PvIwet)",TRUE,FALSE,"Accuracy (PvIwet)","Rpart Strat H2O"
