FinalID,CommonName,CaliforniaTaxon,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,GenusComplex,Genus,SpeciesComplex,Species,Subspecies,Variety,TaxonomicAuthority,FinalIDAuthority,Source
Agabus morosus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus morosus,,,LeConte,SAFIT,DFG-ABL
Agabus obliteratus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus obliteratus,,,LeConte,SAFIT,DFG-ABL
Agabus oblongulus,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus oblongulus,,,Fall,SAFIT,DFG-ABL
Agabus obsoletus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus obsoletus,,,LeConte,SAFIT,DFG-ABL
Agabus pandurus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus pandurus,,,Leech,SAFIT,DFG-ABL
Agabus perplexus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus perplexus,,,Sharp,SAFIT,DFG-ABL
Agabus pisobius,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus pisobius,,,Leech,SAFIT,DFG-ABL
Agabus punctulatus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus punctulatus,,,Aube,SAFIT,DFG-ABL
Agabus regularis,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus regularis,,,LeConte,SAFIT,DFG-ABL
Agabus roguus,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus roguus,,,Larson,SAFIT,DFG-ABL
